Word,Category,Definition,Definition,Definition,Definition,Definition,Definition,Definition,Definition,ExampleW,ExampleD,ExampleW,ExampleD,ExampleW,ExampleD,QuoteW,QuoteD,QuoteS,QuoteW,QuoteD,QuoteS
loyal,adjective,верный,,,,,,,,,,,,,,,,,,,
loyalty,noun,верность,,,,,,,,,,,,,,,,,,,
lubricant,noun,ваднемка,,,,,,,,,,,,,,,,,,,
lubricate,verb,ваднемс ойсэ,,,,,,,,,,,,,,,,,,,
luck,noun,уцяска,,,,,,,,,,,,,,,,,,,
lucky,adjective,уцяскав,,,,,,,,,,,,,,,,,,,
luggage,noun,"багаж, килангонь кескавт-паргт",,,,,,,,,,,,,,,,,,,
lumber,noun,лазт-чочкт,,,,,,,,,,,,,,,,,,,
lump,noun,поколь ,шишка,,,,,,,,,,,,,,,,,,
lunch,noun,чикуншкань ярсамо,,,,,,,,,,,,,,,,,,,
lung,noun,тевиляв,,,,,,,,,,,,,,,,,,,
lust,noun,(sexual) похоть,,,,,,,,,,,,,,,,,,,
lust,verb,саемс покш мель,,,,,,,,,,,,,,,,,,,
luxurious,adjective,мазыдеяк мазы,,,,,,,,,,,,,,,,,,,
luxury,noun,мазы чи,,,,,,,,,,,,,,,,,,,
machine,noun,"машина, мотор",,,,,,,,,,,,,,,,,,,
machine gun,noun,пулемёт,,,,,,,,,,,,,,,,,,,
machinery,noun,машинань оборудования,,,,,,,,,,,,,,,,,,,
machinist,noun,слесарь (важодиця),,,,,,,,,,,,,,,,,,,
mad,adjective,кежев ,азарькс; азарсь,,,,,,,,,,,,,,,,,,
magazine,noun,(weapon) обойма,,,,,,,,,,,,,,,,,,,
maggot,noun,личинка (сукс),,,,,,,,,,,,,,,,,,,
magic,noun,"орожиямо, мунямо",,,,,,,,,,,,,,,,,,,
magician,noun,"сельмевелявты, фокусник",,,,,,,,,,,,,,,,,,,
magistrate,noun,судиця,,,,,,,,,,,,,,,,,,,
magnet,noun,магнет,,,,,,,,,,,,,,,,,,,
magnificent,adjective,"пародояк паро, эйне паро",,,,,,,,,,,,,,,,,,,
magnify,verb,покшолгавтомс,,,,,,,,,,,,,,,,,,,
magnifying glass,noun,луб,,,,,,,,,,,,,,,,,,,
maid,noun,вирдоава,,,,,,,,,,,,,,,,,,,
mail,noun,почта,,,,,,,,,,,,,,,,,,,
mail box,noun,почтань парго (почтовой ящик),,,,,,,,,,,,,,,,,,,
mailman,noun,"сёрмаканды, почтальон",,,,,,,,,,,,,,,,,,,
main,adjective,"прявт, прявтокс",,,,,,,,,,,,,,,,,,,
mainland,noun,"инемода, материк",,,,,,,,,,,,,,,,,,,
mainly,adverb,васняяк,,,,,,,,,,,,,,,,,,,
maintain,verb,"(preserve) ванстомс, ванстома",,,,,,,,,,,,,,,,,,,
maintenance,noun,"поддержка, витнема-петнема",,,,,,,,,,,,,,,,,,,
major,noun,(military) майор,,,,,,,,,,,,,,,,,,,
majority,noun,"седе ламо, покш пелькс",,,,,,,,,,,,,,,,,,,
make,verb,теемс,,,,,,,,,,,,,,,,,,,
make-up,noun,"мазычинь пурнамопель, артомапель",,,,,,,,,,,,,,,,,,,
male,adjective,"цёра сымень, цёра, цёрань",,,,,,,,,,,,,,,,,,,
malice,noun,кежейчи,,,,,,,,,,,,,,,,,,,
malignant,adjective,кежей,,,,,,,,,,,,,,,,,,,
mammal,noun,"левкспоти ракша, млекопитающий",,,,,,,,,,,,,,,,,,,
man,noun,"цёра, цёраломань, ломань",,,,,,,,,,,,,,,,,,,
manage,verb,ветямс (тев),,,,,,,,,,,,,,,,,,,
manageable,adjective,ветямс маштовикс,,,,,,,,,,,,,,,,,,,
management,noun,"управления, ветицят",,,,,,,,,,,,,,,,,,,
manager,noun,(тевень) ветиця,,,,,,,,,,,,,,,,,,,
mandatory,adjective,обязательной,,,,,,,,,,,,,,,,,,,
mane,noun,(лишмень) сявдыксчерь,,,,,,,,,,,,,,,,,,,
manhood,noun,цёраксчи,,,,,,,,,,,,,,,,,,,
manipulate,verb,кармавтомс тееме кода мелеть,,,,,,,,,,,,,,,,,,,
mankind,noun,"ломанень раське, ломань лув",,,,,,,,,,,,,,,,,,,
manner,noun,"лад, теевемань лув",,,,,,,,,,,,,,,,,,,
manners,noun,прянь ветямо лув,,,,,,,,,,,,,,,,,,,
manoeuvre,noun,(military) манёвра,,,,,,,,,,,,,,,,,,,
manslaughter,noun,ломаньмаштома,,,,,,,,,,,,,,,,,,,
manual,adjective,кедьсэ,,,,,,,,,,,,,,,,,,,
manual,noun,"инструкция, тевень ветямо книга",,,,,,,,,,,,,,,,,,,
manufacture,verb,"теемс, нолдамс (товар)",,,,,,,,,,,,,,,,,,,
manufacturer,noun,"(товаронь) теи, товаронь нолды",,,,,,,,,,,,,,,,,,,
manure,noun,назём ,ваце,,,,,,,,,,,,,,,,,,
many,adjective,ламот,,,,,,,,,,,,,,,,,,,
map,noun,карта,,,,,,,,,,,,,,,,,,,
marble,noun,(material) мрамор,,,,,,,,,,,,,,,,,,,
march,noun,марш,,,,,,,,,,,,,,,,,,,
march,verb,маршировамс (ютамс стройсэ),,,,,,,,,,,,,,,,,,,
mare,noun,эльде,,,,,,,,,,,,,,,,,,,
marginal,adjective,"песэ аштиця, асеедьстэнь",,,,,,,,,,,,,,,,,,,
marina,noun,венчень соднома тарка,,,,,,,,,,,,,,,,,,,
mark,noun,тешкс.― v. теемс тешкс,,,,,,,,,,,,,,,,,,,
market,noun,"базар, найман",,,,,,,,,,,,,,,,,,,
marksman,noun,парсте ледниця,,,,,,,,,,,,,,,,,,,
marriage,noun,"венчамо, урьвакстома",,,,,,,,,,,,,,,,,,,
marriage certificate,noun,венчамодо-урьвакстомадо конёв,,,,,,,,,,,,,,,,,,,
married,adjective,мирдень (woman ава) ,урьвакстозь (man цёра),,,,,,,,,,,,,,,,,,
marry,verb,"полыямс, лисемс мирденень (of a woman), урьвакстомс (of a man)",,,,,,,,,,,,,,,,,,,
marsh,noun,болота,,,,,,,,,,,,,,,,,,,
martyr,noun,муцявкс ломань,,,,,,,,,,,,,,,,,,,
martyr,verb,муцямс,,,,,,,,,,,,,,,,,,,
marvellous,adjective,дивавтыця,,,,,,,,,,,,,,,,,,,
masculine,adjective,(grammar) цёра сымень ,(male) цёрань,,,,,,,,,,,,,,,,,,
mask,noun,чамакс,,,,,,,,,,,,,,,,,,,
mass,noun,"(amount) ламоксчи, куця ",(church) обедня,,,,,,,,,,,,,,,,,,
massacre,noun,верень валома.― vt. валомс верь,,,,,,,,,,,,,,,,,,,
massage,noun,массаж,,,,,,,,,,,,,,,,,,,
massage,verb,теемс массаж,,,,,,,,,,,,,,,,,,,
massive,adjective,покштояк покш,,,,,,,,,,,,,,,,,,,
mast,noun,"торцей, мачта",,,,,,,,,,,,,,,,,,,
master,noun,(person) азор.― vt. пек парсте маштомс тееме,,,,,,,,,,,,,,,,,,,
mat,noun,кумбо,,,,,,,,,,,,,,,,,,,
match,noun,"(equal) истямо жо, лангс ютыця ",(fire) пицька ,(sport) тюрема (спорт).― v. (equal) вешнемс лангс молиця,,,,,,,,,,,,,,,,,
matching,adjective,ялгакс,,,,,,,,,,,,,,,,,,,
material,noun,материал,,,,,,,,,,,,,,,,,,,
mathematics,noun,математика,,,,,,,,,,,,,,,,,,,
mattress,noun,матраз,,,,,,,,,,,,,,,,,,,
mature,adjective,кенерезь,,,,,,,,,,,,,,,,,,,
maturity,noun,"покшчи, кенерема",,,,,,,,,,,,,,,,,,,
maximum,noun,весемеде ламо,,,,,,,,,,,,,,,,,,,
may,verb,меремс,,,,,,,,,,,,,,,,,,,
maybe,adverb,"паряк, кие соды",,,,,,,,,,,,,,,,,,,
mayor,noun,"мэр, ошонь покш",,,,,,,,,,,,,,,,,,,
me,pronoun,монь ,монень; тень,,,,,,,,,,,,,,,,,,
meadow,noun,"лайме, лём",,,,,,,,,,,,,,,,,,,
meal,noun,(food) ярсамо,,,,,,,,,,,,,,,,,,,
mean,adjective,(unkind) кежев.― v. кандомс смусть,,,,,,,,,,,,,,,,,,,
meaning,noun,смусть,,,,,,,,,,,,,,,,,,,
meaningful,adjective,ламо смустень канды,,,,,,,,,,,,,,,,,,,
meaningless,adjective,смусттеме,,,,,,,,,,,,,,,,,,,
meantime,adverb,се шкастонть,,,,,,,,,,,,,,,,,,,
measure,noun,"онкс, онкстамо, онкставкс.― v. онкстамс",,,,,,,,,,,,,,,,,,,
measurement,noun,онкстамо,,,,,,,,,,,,,,,,,,,
meat,noun,сывель,,,,,,,,,,,,,,,,,,,
mechanic,noun,механик,,,,,,,,,,,,,,,,,,,
mechanical,adjective,механикень,,,,,,,,,,,,,,,,,,,
mechanism,noun,аппарато,,,,,,,,,,,,,,,,,,,
medal,noun,"(military) медаль, орден",,,,,,,,,,,,,,,,,,,
media,noun,"медия, кулянь пачтямот",,,,,,,,,,,,,,,,,,,
mediate,verb,улемс пелькстыцянь ютксо,,,,,,,,,,,,,,,,,,,
medical,adjective,"ормаменьстямонь, медицинской",,,,,,,,,,,,,,,,,,,
medicine,noun,(substance) ормаменькс,,,,,,,,,,,,,,,,,,,
meditate,verb,арсемс мезеяк теемс - а теемс,,,,,,,,,,,,,,,,,,,
meditation,noun,арсема,,,,,,,,,,,,,,,,,,,
medium,adjective,"куншкань, пеле-",,,,,,,,,,,,,,,,,,,
medium,noun,"способ, средство",,,,,,,,,,,,,,,,,,,
meet,verb,"вастомс, вастовомс, пуромомс",,,,,,,,,,,,,,,,,,,
meeting,noun,промкс,,,,,,,,,,,,,,,,,,,
melody,noun,мелодия,,,,,,,,,,,,,,,,,,,
melon,noun,дуня,,,,,,,,,,,,,,,,,,,
melt,verb,соламс,,,,,,,,,,,,,,,,,,,
member,noun,"(club) член, ломань",,,,,,,,,,,,,,,,,,,
membership,noun,"членство, ломанть",,,,,,,,,,,,,,,,,,,
memorial,noun,лемень кундамо,,,,,,,,,,,,,,,,,,,
memory,noun,"мельс ледстямо, превсэ-мельсэ аштема",,,,,,,,,,,,,,,,,,,
mend,verb,(repair) витнемс,,,,,,,,,,,,,,,,,,,
menstruate,verb,(панартнэнень) молемс,,,,,,,,,,,,,,,,,,,
menstruation,noun,панаронь молема,,,,,,,,,,,,,,,,,,,
mental,adjective,превень,,,,,,,,,,,,,,,,,,,
mention,noun,ледстямо,,,,,,,,,,,,,,,,,,,
mention,verb,ледстямс,,,,,,,,,,,,,,,,,,,
menu,noun,меню,,,,,,,,,,,,,,,,,,,
merchandise,noun,"товарт, микшнемапель",,,,,,,,,,,,,,,,,,,
merchant,noun,рамсиця-микшниця,,,,,,,,,,,,,,,,,,,
mercy,noun,седеймарямо,,,,,,,,,,,,,,,,,,,
merge,verb,(company) вейсэндявомс,,,,,,,,,,,,,,,,,,,
merger,noun,вейсэньдявома,,,,,,,,,,,,,,,,,,,
merit,noun,заслуга,,,,,,,,,,,,,,,,,,,
mermaid,noun,ведьава,,,,,,,,,,,,,,,,,,,
merry,adjective,кециця,,,,,,,,,,,,,,,,,,,
message,noun,"куля, сёрмине",,,,,,,,,,,,,,,,,,,
messenger,noun,"посыльной, кулянь кандый",,,,,,,,,,,,,,,,,,,
messy,adjective,"рудазов, ваднезь",,,,,,,,,,,,,,,,,,,
metal,noun,кшни,,,,,,,,,,,,,,,,,,,
meter,noun,метра,,,,,,,,,,,,,,,,,,,
method,noun,метод,,,,,,,,,,,,,,,,,,,
microscope,noun,микроскоп,,,,,,,,,,,,,,,,,,,
middle,adjective,"куншкань, куншка куронь",,,,,,,,,,,,,,,,,,,
middle,noun,куншка,,,,,,,,,,,,,,,,,,,
midnight,noun,пелеве,,,,,,,,,,,,,,,,,,,
might,noun,вий,,,,,,,,,,,,,,,,,,,
mighty,adjective,"виев, ине",,,,,,,,,,,,,,,,,,,
migrate,verb,"туемс ве таркасто лияв эрямо, ютамс",,,,,,,,,,,,,,,,,,,
mild,adjective,(weather) сэтьме,,,,,,,,,,,,,,,,,,,
mile,noun,миля,,,,,,,,,,,,,,,,,,,
militant,noun,"бороциця, войнань вечки",,,,,,,,,,,,,,,,,,,
military,adjective,войнань,,,,,,,,,,,,,,,,,,,
military,noun,"ушмо, ушмо вий",,,,,,,,,,,,,,,,,,,
milk,noun,ловсо,,,,,,,,,,,,,,,,,,,
milk,verb,потявтомс,,,,,,,,,,,,,,,,,,,
mill,noun,ведькев,,,,,,,,,,,,,,,,,,,
mill,verb,яжавтомс ведькевсэ,,,,,,,,,,,,,,,,,,,
million,numeral,миллион,,,,,,,,,,,,,,,,,,,
millionaire,noun,миллионер,,,,,,,,,,,,,,,,,,,
mind,noun,"прев, пряудем",,,,,,,,,,,,,,,,,,,
mine,pronoun,монь,,,,,,,,,,,,,,,,,,,
mine,noun,(military) мина,,,,,,,,,,,,,,,,,,,
mine field,noun,"минасо озавтонь пакся, миныянь пакся",,,,,,,,,,,,,,,,,,,
miner,noun,шахтёр,,,,,,,,,,,,,,,,,,,
mineral,noun,минерал,,,,,,,,,,,,,,,,,,,
minimum,noun,весемеде аламо,,,,,,,,,,,,,,,,,,,
mining,noun,горной промышленность,,,,,,,,,,,,,,,,,,,
minister,noun,(government) министра,,,,,,,,,,,,,,,,,,,
ministry,noun,(government) министерства,,,,,,,,,,,,,,,,,,,
minority,noun,"вишкаце пелькс, седе аламо",,,,,,,,,,,,,,,,,,,
minus,preposition,-втеме,,,,,,,,,,,,,,,,,,,
minute,adjective,вишинькине,,,,,,,,,,,,,,,,,,,
minute,noun,"минут, минута",,,,,,,,,,,,,,,,,,,
miracle,noun,дива,,,,,,,,,,,,,,,,,,,
mirror,noun,"чамавачамо, чавачама ",ванномка,,,,,,,,,,,,,,,,,,
miscarriage,noun,эйдень каямо,,,,,,,,,,,,,,,,,,,
miscellaneous,adjective,минень-сюнонь,,,,,,,,,,,,,,,,,,,
misconduct,noun,беряньстэ прянь ветямо,,,,,,,,,,,,,,,,,,,
miserable,adjective,"аволь часияв, сюмордыця",,,,,,,,,,,,,,,,,,,
misery,noun,сюмордома,,,,,,,,,,,,,,,,,,,
misinterpret,verb,чарькодемс аволь видестэ,,,,,,,,,,,,,,,,,,,
misleading,adjective,манявтыця,,,,,,,,,,,,,,,,,,,
misplace,verb,путомс атарказо(нзо),,,,,,,,,,,,,,,,,,,
miss,verb,(target) а понгомс (цельс),,,,,,,,,,,,,,,,,,,
missile,noun,(military) реактивной снаряд,,,,,,,,,,,,,,,,,,,
missing,adjective,(lost) ёмазь,,,,,,,,,,,,,,,,,,,
mission,noun,"(task) миссия, тев",,,,,,,,,,,,,,,,,,,
missionary,noun,миссионер,,,,,,,,,,,,,,,,,,,
mist,noun,суводи пиземе,,,,,,,,,,,,,,,,,,,
mistake,noun,ильведевкс,,,,,,,,,,,,,,,,,,,
misty,adjective,суводи пиземев,,,,,,,,,,,,,,,,,,,
misunderstand,verb,аволь истя чарькодемс,,,,,,,,,,,,,,,,,,,
misunderstanding,noun,ачарькодема,,,,,,,,,,,,,,,,,,,
misuse,verb,аволь истя нолдамс тевс,,,,,,,,,,,,,,,,,,,
mix,verb,човорямс,,,,,,,,,,,,,,,,,,,
mixer,noun,(machine) човорямка (миксер),,,,,,,,,,,,,,,,,,,
mixture,noun,човордавкс,,,,,,,,,,,,,,,,,,,
moan,noun,сеставома,,,,,,,,,,,,,,,,,,,
moan,verb,сеставтомс,,,,,,,,,,,,,,,,,,,
mobile,adjective,"мобильной, марто(т) саевиця",,,,,,,,,,,,,,,,,,,
mobile phone,noun,сотовой телефон,,,,,,,,,,,,,,,,,,,
mobility,noun,"ютамо, ве таркасо аштема",,,,,,,,,,,,,,,,,,,
mobilize,verb,аравтомс тевс кундамо,,,,,,,,,,,,,,,,,,,
mode,noun,способ,,,,,,,,,,,,,,,,,,,
model,noun,(object) модель,,,,,,,,,,,,,,,,,,,
moderate,adjective,ламо авешиця,,,,,,,,,,,,,,,,,,,
modern,adjective,неень шкань,,,,,,,,,,,,,,,,,,,
modernize,verb,одкстомтомс,,,,,,,,,,,,,,,,,,,
modification,noun,"лиякстомтома, одолгавтома",,,,,,,,,,,,,,,,,,,
modify,verb,"лиякстовтомс, одолгавтомс",,,,,,,,,,,,,,,,,,,
moist,adjective,летьке,,,,,,,,,,,,,,,,,,,
moisture,noun,летьке,,,,,,,,,,,,,,,,,,,
molar,noun,камакш (пей),,,,,,,,,,,,,,,,,,,
moldy,adjective,куштазов,,,,,,,,,,,,,,,,,,,
mole,noun,(skin) пазоньтешкс,,,,,,,,,,,,,,,,,,,
moment,noun,"минута, сельмелип",,,,,,,,,,,,,,,,,,,
momentary,adjective,сельгень прамс,,,,,,,,,,,,,,,,,,,
monastery,noun,монастырь,,,,,,,,,,,,,,,,,,,
money,noun,ярмак,,,,,,,,,,,,,,,,,,,
money order,noun,почтасо ярмаконь кучома,,,,,,,,,,,,,,,,,,,
monitor,verb,"ваномс (кинь, тезэнь) мельга",,,,,,,,,,,,,,,,,,,
monk,noun,манах,,,,,,,,,,,,,,,,,,,
monkey,noun,обизьган,,,,,,,,,,,,,,,,,,,
monopoly,noun,монополия,,,,,,,,,,,,,,,,,,,
monster,noun,"монстра, инегуй",,,,,,,,,,,,,,,,,,,
month,noun,ков (шка),,,,,,,,,,,,,,,,,,,
monthly,adjective,эрьва ковонь,,,,,,,,,,,,,,,,,,,
monument,noun,монумент,,,,,,,,,,,,,,,,,,,
mood,noun,"ёжо, ёжомарямо",,,,,,,,,,,,,,,,,,,
moon,noun,ков,,,,,,,,,,,,,,,,,,,
moor,noun,"тарка, косо касы вереск тикше",,,,,,,,,,,,,,,,,,,
moose,noun,сярдо,,,,,,,,,,,,,,,,,,,
mop,noun,лентяйка,,,,,,,,,,,,,,,,,,,
moral,adjective,"тонавтома, превень максома",,,,,,,,,,,,,,,,,,,
morality,noun,"этика, прянь ветямо",,,,,,,,,,,,,,,,,,,
more,adjective,седе ламо,,,,,,,,,,,,,,,,,,,
more,adverb,оштё,,,,,,,,,,,,,,,,,,,
morning,noun,валске,,,,,,,,,,,,,,,,,,,
mortar,noun,(military) миномёт,,,,,,,,,,,,,,,,,,,
mortgage,noun,заклад,,,,,,,,,,,,,,,,,,,
mortuary,noun,морг,,,,,,,,,,,,,,,,,,,
mosque,noun,мечеть,,,,,,,,,,,,,,,,,,,
mosquito,noun,сеське,,,,,,,,,,,,,,,,,,,
moss,noun,нупонь,,,,,,,,,,,,,,,,,,,
most,adverb,весемеде ламо,,,,,,,,,,,,,,,,,,,
moth,noun,ки (карво),,,,,,,,,,,,,,,,,,,
mother,noun,ава (аволь тетя),,,,,,,,,,,,,,,,,,,
mother-in-law,noun,(husband's mother) ававт,,,,,,,,,,,,,,,,,,,
motion,noun,"лыкамо, молемка",,,,,,,,,,,,,,,,,,,
motionless,adjective,ве таркасо аштиця,,,,,,,,,,,,,,,,,,,
motivate,verb,кармавтомс путома мель,,,,,,,,,,,,,,,,,,,
motivated,adjective,мелень путы,,,,,,,,,,,,,,,,,,,
motivation,noun,мотивация,,,,,,,,,,,,,,,,,,,
motive,noun,мотив,,,,,,,,,,,,,,,,,,,
motor,noun,мотор,,,,,,,,,,,,,,,,,,,
motorcycle,noun,мотоцикла,,,,,,,,,,,,,,,,,,,
motorist,noun,машинань ветиця,,,,,,,,,,,,,,,,,,,
motorway,noun,машинань покш ки,,,,,,,,,,,,,,,,,,,
mountain,noun,инепандо,,,,,,,,,,,,,,,,,,,
mourn,verb,аварькшнемс кинь-бути кисэ,,,,,,,,,,,,,,,,,,,
mourning,noun,"горновамо, авардема, лайшема",,,,,,,,,,,,,,,,,,,
mouse,noun,чеерь,,,,,,,,,,,,,,,,,,,
mouth,noun,курго,,,,,,,,,,,,,,,,,,,
mouthful,noun,кургопотмо,,,,,,,,,,,,,,,,,,,
movable,adjective,шаштовикс,,,,,,,,,,,,,,,,,,,
move,verb,(location) айгемс ,ютамс од таркас,,,,,,,,,,,,,,,,,,
movement,noun,лыкамо ,пурнавома,,,,,,,,,,,,,,,,,,
movie,noun,кино,,,,,,,,,,,,,,,,,,,
mow,verb,нуемс,,,,,,,,,,,,,,,,,,,
much,adverb,ламо,,,,,,,,,,,,,,,,,,,
muck,noun,"навоз, рудаз",,,,,,,,,,,,,,,,,,,
mucus,noun,наволо,,,,,,,,,,,,,,,,,,,
mud,noun,рудаз,,,,,,,,,,,,,,,,,,,
muffler,noun,глушитель,,,,,,,,,,,,,,,,,,,
mugging,noun,зорувамо,,,,,,,,,,,,,,,,,,,
muggy,adjective,летьке-лембе,,,,,,,,,,,,,,,,,,,
mule,noun,мул,,,,,,,,,,,,,,,,,,,
multiple,adjective,ламонькирдань,,,,,,,,,,,,,,,,,,,
multiply,verb,ламолгавтомс,,,,,,,,,,,,,,,,,,,
mumble,verb,"бутордомс, ботномс",,,,,,,,,,,,,,,,,,,
murder,noun,маштомс (ломань),,,,,,,,,,,,,,,,,,,
muscle,noun,"рунгосан, мускуля, сывель",,,,,,,,,,,,,,,,,,,
museum,noun,музей,,,,,,,,,,,,,,,,,,,
mushroom,noun,панго (ярсамонь),,,,,,,,,,,,,,,,,,,
music,noun,музыка,,,,,,,,,,,,,,,,,,,
musical,adjective,музыкальной,,,,,,,,,,,,,,,,,,,
musician,noun,музыкант,,,,,,,,,,,,,,,,,,,
must,verb,эрявомс,,,,,,,,,,,,,,,,,,,
mustache,noun,"муюкт, нарт, усат",,,,,,,,,,,,,,,,,,,
mustard,noun,горниця,,,,,,,,,,,,,,,,,,,
mute,adjective,чатьмониця,,,,,,,,,,,,,,,,,,,
mutual,adjective,кавто ёндонь,,,,,,,,,,,,,,,,,,,
my,adjective,монь,,,,,,,,,,,,,,,,,,,
mysterious,adjective,салавань,,,,,,,,,,,,,,,,,,,
mystery,noun,салавачи,,,,,,,,,,,,,,,,,,,
myth,noun,"миф, пингеёвкс",,,,,,,,,,,,,,,,,,,
March,noun,"колмоце ков, эйсюроков",,,,,,,,,,,,,,,,,,,
May,noun,"ветеце ков, панжиков, нарамоков",,,,,,,,,,,,,,,,,,,
Middle East,noun,Маласо чилисема ёнкс,,,,,,,,,,,,,,,,,,,
Monday,noun,пондельник,,,,,,,,,,,,,,,,,,,
nail,noun,(metal) эске,,,,,,,,,,,,,,,,,,,
naked,adjective,"штапо, штадо",,,,,,,,,,,,,,,,,,,
name,noun,лем,,,,,,,,,,,,,,,,,,,
name,verb,лемдемс,,,,,,,,,,,,,,,,,,,
nap,noun,(sleep) нувсема,,,,,,,,,,,,,,,,,,,
napkin,noun,(table) салфетка,,,,,,,,,,,,,,,,,,,
narration,noun,ёвтнема,,,,,,,,,,,,,,,,,,,
narrow,adjective,тея,,,,,,,,,,,,,,,,,,,
nasty,adjective,уксновтыця,,,,,,,,,,,,,,,,,,,
nation,noun,"раське, нация",,,,,,,,,,,,,,,,,,,
national,adjective,"раськень, национальной",,,,,,,,,,,,,,,,,,,
nationality,noun,национальность,,,,,,,,,,,,,,,,,,,
nationalize,verb,национализировамс,,,,,,,,,,,,,,,,,,,
nationally,adverb,весе масторонь вановкссо,,,,,,,,,,,,,,,,,,,
native,adjective,эсь масторонь,,,,,,,,,,,,,,,,,,,
native,noun,эсь масторсо чачозь,,,,,,,,,,,,,,,,,,,
natural,adjective,природань чачолмань,,,,,,,,,,,,,,,,,,,
naturally,adverb,"содазь, чачомга",,,,,,,,,,,,,,,,,,,
nature,noun,(character) кор ,(world) пертьпелькс; чачолма; природа,,,,,,,,,,,,,,,,,,
nausea,noun,уксномань кепсетема,,,,,,,,,,,,,,,,,,,
naval,adjective,"флотонь, иневедень",,,,,,,,,,,,,,,,,,,
navel,noun,почо,,,,,,,,,,,,,,,,,,,
navigate,verb,"укшномс (венчсэ), ливтямс (ёроплансо)",,,,,,,,,,,,,,,,,,,
navigation,noun,навигация,,,,,,,,,,,,,,,,,,,
navy,noun,военно-морской флот,,,,,,,,,,,,,,,,,,,
near,adverb,маласо,,,,,,,,,,,,,,,,,,,
nearly,adverb,малав,,,,,,,,,,,,,,,,,,,
neat,adjective,ванькс,,,,,,,,,,,,,,,,,,,
necessary,adjective,эрявикс,,,,,,,,,,,,,,,,,,,
necessity,noun,эрявиксчи,,,,,,,,,,,,,,,,,,,
neck,noun,(throat) кирьга ,(back of the neck) сявдикс,,,,,,,,,,,,,,,,,,
necklace,noun,кирьгакс,,,,,,,,,,,,,,,,,,,
need,noun,"асатыкс, ??эрявома",,,,,,,,,,,,,,,,,,,
need,verb,эрявомс,,,,,,,,,,,,,,,,,,,
needle,noun,салмукс,,,,,,,,,,,,,,,,,,,
needless,adjective,"аэрявикс, лишной",,,,,,,,,,,,,,,,,,,
needy,adjective,??лездамонь вети,,,,,,,,,,,,,,,,,,,
negative,adjective,"аволь паронь арсиця, отрицательной",,,,,,,,,,,,,,,,,,,
neglect,noun,небрежность,,,,,,,,,,,,,,,,,,,
neglect,verb,"а заботямс, а каямс сельме",,,,,,,,,,,,,,,,,,,
negligence,noun,халатность,,,,,,,,,,,,,,,,,,,
negligent,adjective,халатной,,,,,,,,,,,,,,,,,,,
negotiate,verb,ютавтомс тевде кортамо,,,,,,,,,,,,,,,,,,,
negotiation,noun,тевде кортамо,,,,,,,,,,,,,,,,,,,
neighbor,noun,шабра,,,,,,,,,,,,,,,,,,,
neighborhood,noun,"шабрат, шабра куро",,,,,,,,,,,,,,,,,,,
neither,pronoun,конаськак (кавонест эйстэ),,,,,,,,,,,,,,,,,,,
nephew,noun,"(sister's son) патянть цёразо, сазоронть цёразо",,,,,,,,,,,,,,,,,,,
nerve,noun,"ёжопе, нерва",,,,,,,,,,,,,,,,,,,
nervous,adjective,"нервной, талныця",,,,,,,,,,,,,,,,,,,
nest,noun,(нармунень) пизэ,,,,,,,,,,,,,,,,,,,
net,noun,(fishing) алтыма ,сеть,,,,,,,,,,,,,,,,,,
neuter,adjective,пичкавтозь ,сымевтемс,,,,,,,,,,,,,,,,,,
neutral,adjective,нейтральной,,,,,,,,,,,,,,,,,,,
never,adverb,зярдояк,,,,,,,,,,,,,,,,,,,
new,adjective,од,,,,,,,,,,,,,,,,,,,
news,noun,кулят,,,,,,,,,,,,,,,,,,,
newspaper,noun,газет,,,,,,,,,,,,,,,,,,,
next,determiner,"мельга молиця, малаце",,,,,,,,,,,,,,,,,,,
next,adverb,"мейле, седе тов",,,,,,,,,,,,,,,,,,,
nice,adjective,"вадря, паро",,,,,,,,,,,,,,,,,,,
niece,noun,"(brother's daughter) лелянть тейтерезэ, ялаксонть тейтерезэ ",(sister's daughter) патянть тейтерезэ; сазоронть тейтерезэ,,,,,,,,,,,,,,,,,,
night,noun,"ве, (аволь чи)",,,,,,,,,,,,,,,,,,,
nightmare,noun,"чоподавий, берянь он",,,,,,,,,,,,,,,,,,,
nine,numeral,вейксэ,,,,,,,,,,,,,,,,,,,
nineteen,numeral,кемвейксэе,,,,,,,,,,,,,,,,,,,
ninety,numeral,вейксэньгемень,,,,,,,,,,,,,,,,,,,
ninth,determiner,вейксэце,,,,,,,,,,,,,,,,,,,
nipple,noun,потепря,,,,,,,,,,,,,,,,,,,
no,adjective,вейкеяк (арась),,,,,,,,,,,,,,,,,,,
no,noun,(response) арась,,,,,,,,,,,,,,,,,,,
nobody,pronoun,кияк,,,,,,,,,,,,,,,,,,,
nod,verb,комсемс прясо,,,,,,,,,,,,,,,,,,,
noise,noun,шалт,,,,,,,,,,,,,,,,,,,
noisy,adjective,"шалтов, пижниця",,,,,,,,,,,,,,,,,,,
nominate,verb,"путомс, лемдемс",,,,,,,,,,,,,,,,,,,
none,pronoun,(object) вейкеяк,,,,,,,,,,,,,,,,,,,
nonsense,noun,чавовалт,,,,,,,,,,,,,,,,,,,
noodle,noun,лапша,,,,,,,,,,,,,,,,,,,
noon,noun,пелечи,,,,,,,,,,,,,,,,,,,
