Word,Definition,Category,ExampleW,ExampleD,ExampleW,ExampleD,ExampleW,ExampleD,QuoteW,QuoteD,QuoteS,QuoteW,QuoteD,QuoteS
maid,вирдоава,,,,,,,,,,,,,
mail,почта,,,,,,,,,,,,,
mail box,почтань парго (почтовой ящик),,,,,,,,,,,,,
mailman,сёрмаканды; почтальон,,,,,,,,,,,,,
main,прявт; прявтокс,,,,,,,,,,,,,
mainland,инемода; материк,,,,,,,,,,,,,
mainly,васняяк,,,,,,,,,,,,,
maintain,(preserve) ванстомс; ванстома,,,,,,,,,,,,,
maintenance,поддержка; витнема-петнема,,,,,,,,,,,,,
major,(military) майор,,,,,,,,,,,,,
majority,седе ламо; покш пелькс,,,,,,,,,,,,,
make,теемс,,,,,,,,,,,,,
make-up,мазычинь пурнамопель; артомапель,,,,,,,,,,,,,
male,цёра сымень; цёра; цёрань,,,,,,,,,,,,,
malice,кежейчи,,,,,,,,,,,,,
malignant,кежей,,,,,,,,,,,,,
mammal,левкспоти ракша; млекопитающий,,,,,,,,,,,,,
man,цёра; цёраломань; ломань,,,,,,,,,,,,,
manage,ветямс (тев),,,,,,,,,,,,,
manageable,ветямс маштовикс,,,,,,,,,,,,,
management,управления; ветицят,,,,,,,,,,,,,
manager,(тевень) ветиця,,,,,,,,,,,,,
mandatory,обязательной,,,,,,,,,,,,,
mane,(лишмень) сявдыксчерь,,,,,,,,,,,,,
manhood,цёраксчи,,,,,,,,,,,,,
manipulate,кармавтомс тееме кода мелеть,,,,,,,,,,,,,
mankind,ломанень раське; ломань лув,,,,,,,,,,,,,
manner,лад; теевемань лув,,,,,,,,,,,,,
manners,прянь ветямо лув,,,,,,,,,,,,,
manoeuvre,(military) манёвра,,,,,,,,,,,,,
manslaughter,ломаньмаштома,,,,,,,,,,,,,
manual,кедьсэ,,,,,,,,,,,,,
manual,инструкция; тевень ветямо книга,,,,,,,,,,,,,
manufacture,теемс; нолдамс (товар),,,,,,,,,,,,,
manufacturer,(товаронь) теи; товаронь нолды,,,,,,,,,,,,,
manure,1. назём 2. ваце,,,,,,,,,,,,,
many,ламот,,,,,,,,,,,,,
map,карта,,,,,,,,,,,,,
marble,(material) мрамор,,,,,,,,,,,,,
march,марш,,,,,,,,,,,,,
march,маршировамс (ютамс стройсэ),,,,,,,,,,,,,
mare,эльде,,,,,,,,,,,,,
marginal,песэ аштиця; асеедьстэнь,,,,,,,,,,,,,
marina,венчень соднома тарка,,,,,,,,,,,,,
mark,тешкс.― v. теемс тешкс,,,,,,,,,,,,,
market,базар; найман,,,,,,,,,,,,,
marksman,парсте ледниця,,,,,,,,,,,,,
marriage,венчамо; урьвакстома,,,,,,,,,,,,,
marriage certificate,венчамодо-урьвакстомадо конёв,,,,,,,,,,,,,
married,1. мирдень (woman ава) 2. урьвакстозь (man цёра),,,,,,,,,,,,,
marry,полыямс; лисемс мирденень (of a woman); урьвакстомс (of a man),,,,,,,,,,,,,
marsh,болота,,,,,,,,,,,,,
martyr,муцявкс ломань,,,,,,,,,,,,,
martyr,муцямс,,,,,,,,,,,,,
marvellous,дивавтыця,,,,,,,,,,,,,
masculine,1. (grammar) цёра сымень 2. (male) цёрань,,,,,,,,,,,,,
mask,чамакс,,,,,,,,,,,,,
mass,1. (amount) ламоксчи; куця 2. (church) обедня,,,,,,,,,,,,,
massacre,верень валома.― vt. валомс верь,,,,,,,,,,,,,
massage,массаж,,,,,,,,,,,,,
massage,теемс массаж,,,,,,,,,,,,,
massive,покштояк покш,,,,,,,,,,,,,
mast,торцей; мачта,,,,,,,,,,,,,
master,(person) азор.― vt. пек парсте маштомс тееме,,,,,,,,,,,,,
mat,кумбо,,,,,,,,,,,,,
match,1. (equal) истямо жо; лангс ютыця 2. (fire) пицька 3. (sport) тюрема (спорт).― v. (equal) вешнемс лангс молиця,,,,,,,,,,,,,
matching,ялгакс,,,,,,,,,,,,,
material,материал,,,,,,,,,,,,,
mathematics,математика,,,,,,,,,,,,,
mattress,матраз,,,,,,,,,,,,,
mature,кенерезь,,,,,,,,,,,,,
maturity,покшчи; кенерема,,,,,,,,,,,,,
maximum,весемеде ламо,,,,,,,,,,,,,
may,меремс,,,,,,,,,,,,,
maybe,паряк; кие соды,,,,,,,,,,,,,
mayor,мэр; ошонь покш,,,,,,,,,,,,,
me,1. монь 2. монень; тень,,,,,,,,,,,,,
meadow,лайме; лём,,,,,,,,,,,,,
meal,(food) ярсамо,,,,,,,,,,,,,
mean,(unkind) кежев.― v. кандомс смусть,,,,,,,,,,,,,
meaning,смусть,,,,,,,,,,,,,
meaningful,ламо смустень канды,,,,,,,,,,,,,
meaningless,смусттеме,,,,,,,,,,,,,
meantime,се шкастонть,,,,,,,,,,,,,
measure,онкс; онкстамо; онкставкс.― v. онкстамс,,,,,,,,,,,,,
measurement,онкстамо,,,,,,,,,,,,,
meat,сывель,,,,,,,,,,,,,
mechanic,механик,,,,,,,,,,,,,
mechanical,механикень,,,,,,,,,,,,,
mechanism,аппарато,,,,,,,,,,,,,
medal,(military) медаль; орден,,,,,,,,,,,,,
media,медия; кулянь пачтямот,,,,,,,,,,,,,
mediate,улемс пелькстыцянь ютксо,,,,,,,,,,,,,
medical,ормаменьстямонь; медицинской,,,,,,,,,,,,,
medicine,(substance) ормаменькс,,,,,,,,,,,,,
meditate,арсемс мезеяк теемс - а теемс,,,,,,,,,,,,,
meditation,арсема,,,,,,,,,,,,,
medium,куншкань; пеле-,,,,,,,,,,,,,
medium,способ; средство,,,,,,,,,,,,,
meet,вастомс; вастовомс; пуромомс,,,,,,,,,,,,,
meeting,промкс,,,,,,,,,,,,,
melody,мелодия,,,,,,,,,,,,,
melon,дуня,,,,,,,,,,,,,
melt,соламс,,,,,,,,,,,,,
member,(club) член; ломань,,,,,,,,,,,,,
membership,членство; ломанть,,,,,,,,,,,,,
memorial,лемень кундамо,,,,,,,,,,,,,
memory,мельс ледстямо; превсэ-мельсэ аштема,,,,,,,,,,,,,
mend,(repair) витнемс,,,,,,,,,,,,,
menstruate,(панартнэнень) молемс,,,,,,,,,,,,,
menstruation,панаронь молема,,,,,,,,,,,,,
mental,превень,,,,,,,,,,,,,
mention,ледстямо,,,,,,,,,,,,,
mention,ледстямс,,,,,,,,,,,,,
menu,меню,,,,,,,,,,,,,
merchandise,товарт; микшнемапель,,,,,,,,,,,,,
merchant,рамсиця-микшниця,,,,,,,,,,,,,
mercy,седеймарямо,,,,,,,,,,,,,
merge,(company) вейсэндявомс,,,,,,,,,,,,,
merger,вейсэньдявома,,,,,,,,,,,,,
merit,заслуга,,,,,,,,,,,,,
mermaid,ведьава,,,,,,,,,,,,,
merry,кециця,,,,,,,,,,,,,
message,куля; сёрмине,,,,,,,,,,,,,
messenger,посыльной; кулянь кандый,,,,,,,,,,,,,
messy,рудазов; ваднезь,,,,,,,,,,,,,
metal,кшни,,,,,,,,,,,,,
meter,метра,,,,,,,,,,,,,
method,метод,,,,,,,,,,,,,
microscope,микроскоп,,,,,,,,,,,,,
middle,куншкань; куншка куронь,,,,,,,,,,,,,
middle,куншка,,,,,,,,,,,,,
midnight,пелеве,,,,,,,,,,,,,
might,вий,,,,,,,,,,,,,
mighty,виев; ине,,,,,,,,,,,,,
migrate,туемс ве таркасто лияв эрямо; ютамс,,,,,,,,,,,,,
mild,(weather) сэтьме,,,,,,,,,,,,,
mile,миля,,,,,,,,,,,,,
militant,бороциця; войнань вечки,,,,,,,,,,,,,
military,войнань,,,,,,,,,,,,,
military,ушмо; ушмо вий,,,,,,,,,,,,,
milk,ловсо,,,,,,,,,,,,,
milk,потявтомс,,,,,,,,,,,,,
mill,ведькев,,,,,,,,,,,,,
mill,яжавтомс ведькевсэ,,,,,,,,,,,,,
million,миллион,,,,,,,,,,,,,
millionaire,миллионер,,,,,,,,,,,,,
mind,прев; пряудем,,,,,,,,,,,,,
mine,монь,,,,,,,,,,,,,
mine,(military) мина,,,,,,,,,,,,,
mine field,минасо озавтонь пакся; миныянь пакся,,,,,,,,,,,,,
miner,шахтёр,,,,,,,,,,,,,
mineral,минерал,,,,,,,,,,,,,
minimum,весемеде аламо,,,,,,,,,,,,,
mining,горной промышленность,,,,,,,,,,,,,
minister,(government) министра,,,,,,,,,,,,,
ministry,(government) министерства,,,,,,,,,,,,,
minority,вишкаце пелькс; седе аламо,,,,,,,,,,,,,
minus,-втеме,,,,,,,,,,,,,
minute,вишинькине,,,,,,,,,,,,,
minute,минут; минута,,,,,,,,,,,,,
miracle,дива,,,,,,,,,,,,,
mirror,1. чамавачамо; чавачама 2. ванномка,,,,,,,,,,,,,
miscarriage,эйдень каямо,,,,,,,,,,,,,
miscellaneous,минень-сюнонь,,,,,,,,,,,,,
misconduct,беряньстэ прянь ветямо,,,,,,,,,,,,,
miserable,аволь часияв; сюмордыця,,,,,,,,,,,,,
misery,сюмордома,,,,,,,,,,,,,
misinterpret,чарькодемс аволь видестэ,,,,,,,,,,,,,
misleading,манявтыця,,,,,,,,,,,,,
misplace,путомс атарказо(нзо),,,,,,,,,,,,,
miss,(target) а понгомс (цельс),,,,,,,,,,,,,
missile,(military) реактивной снаряд,,,,,,,,,,,,,
missing,(lost) ёмазь,,,,,,,,,,,,,
mission,(task) миссия; тев,,,,,,,,,,,,,
missionary,миссионер,,,,,,,,,,,,,
mist,суводи пиземе,,,,,,,,,,,,,
mistake,ильведевкс,,,,,,,,,,,,,
misty,суводи пиземев,,,,,,,,,,,,,
misunderstand,аволь истя чарькодемс,,,,,,,,,,,,,
misunderstanding,ачарькодема,,,,,,,,,,,,,
misuse,аволь истя нолдамс тевс,,,,,,,,,,,,,
mix,човорямс,,,,,,,,,,,,,
mixer,(machine) човорямка (миксер),,,,,,,,,,,,,
mixture,човордавкс,,,,,,,,,,,,,
moan,сеставома,,,,,,,,,,,,,
moan,сеставтомс,,,,,,,,,,,,,
mobile,мобильной; марто(т) саевиця,,,,,,,,,,,,,
mobile phone,сотовой телефон,,,,,,,,,,,,,
mobility,ютамо; ве таркасо аштема,,,,,,,,,,,,,
mobilize,аравтомс тевс кундамо,,,,,,,,,,,,,
mode,способ,,,,,,,,,,,,,
model,(object) модель,,,,,,,,,,,,,
moderate,ламо авешиця,,,,,,,,,,,,,
modern,неень шкань,,,,,,,,,,,,,
modernize,одкстомтомс,,,,,,,,,,,,,
modification,лиякстомтома; одолгавтома,,,,,,,,,,,,,
modify,лиякстовтомс; одолгавтомс,,,,,,,,,,,,,
moist,летьке,,,,,,,,,,,,,
moisture,летьке,,,,,,,,,,,,,
molar,камакш (пей),,,,,,,,,,,,,
moldy,куштазов,,,,,,,,,,,,,
mole,(skin) пазоньтешкс,,,,,,,,,,,,,
moment,минута; сельмелип,,,,,,,,,,,,,
momentary,сельгень прамс,,,,,,,,,,,,,
monastery,монастырь,,,,,,,,,,,,,
money,ярмак,,,,,,,,,,,,,
money order,почтасо ярмаконь кучома,,,,,,,,,,,,,
monitor,ваномс (кинь; тезэнь) мельга,,,,,,,,,,,,,
monk,манах,,,,,,,,,,,,,
monkey,обизьган,,,,,,,,,,,,,
monopoly,монополия,,,,,,,,,,,,,
monster,монстра; инегуй,,,,,,,,,,,,,
month,ков (шка),,,,,,,,,,,,,
monthly,эрьва ковонь,,,,,,,,,,,,,
monument,монумент,,,,,,,,,,,,,
mood,ёжо; ёжомарямо,,,,,,,,,,,,,
moon,ков,,,,,,,,,,,,,
moor,тарка; косо касы вереск тикше,,,,,,,,,,,,,
moose,сярдо,,,,,,,,,,,,,
mop,лентяйка,,,,,,,,,,,,,
moral,тонавтома; превень максома,,,,,,,,,,,,,
morality,этика; прянь ветямо,,,,,,,,,,,,,
more,седе ламо,,,,,,,,,,,,,
more,оштё,,,,,,,,,,,,,
morning,валске,,,,,,,,,,,,,
mortar,(military) миномёт,,,,,,,,,,,,,
mortgage,заклад,,,,,,,,,,,,,
mortuary,морг,,,,,,,,,,,,,
mosque,мечеть,,,,,,,,,,,,,
mosquito,сеське,,,,,,,,,,,,,
moss,нупонь,,,,,,,,,,,,,
most,весемеде ламо,,,,,,,,,,,,,
moth,ки (карво),,,,,,,,,,,,,
mother,ава (аволь тетя),,,,,,,,,,,,,
mother-in-law,(husband's mother) ававт,,,,,,,,,,,,,
motion,лыкамо; молемка,,,,,,,,,,,,,
motionless,ве таркасо аштиця,,,,,,,,,,,,,
motivate,кармавтомс путома мель,,,,,,,,,,,,,
motivated,мелень путы,,,,,,,,,,,,,
motivation,мотивация,,,,,,,,,,,,,
motive,мотив,,,,,,,,,,,,,
motor,мотор,,,,,,,,,,,,,
motorcycle,мотоцикла,,,,,,,,,,,,,
motorist,машинань ветиця,,,,,,,,,,,,,
motorway,машинань покш ки,,,,,,,,,,,,,
mountain,инепандо,,,,,,,,,,,,,
mourn,аварькшнемс кинь-бути кисэ,,,,,,,,,,,,,
mourning,горновамо; авардема; лайшема,,,,,,,,,,,,,
mouse,чеерь,,,,,,,,,,,,,
mouth,курго,,,,,,,,,,,,,
mouthful,кургопотмо,,,,,,,,,,,,,
movable,шаштовикс,,,,,,,,,,,,,
move,1. (location) айгемс 2. ютамс од таркас,,,,,,,,,,,,,
movement,1. лыкамо 2. пурнавома,,,,,,,,,,,,,
movie,кино,,,,,,,,,,,,,
mow,нуемс,,,,,,,,,,,,,
much,ламо,,,,,,,,,,,,,
muck,навоз; рудаз,,,,,,,,,,,,,
mucus,наволо,,,,,,,,,,,,,
mud,рудаз,,,,,,,,,,,,,
muffler,глушитель,,,,,,,,,,,,,
mugging,зорувамо,,,,,,,,,,,,,
muggy,летьке-лембе,,,,,,,,,,,,,
mule,мул,,,,,,,,,,,,,
multiple,ламонькирдань,,,,,,,,,,,,,
multiply,ламолгавтомс,,,,,,,,,,,,,
mumble,бутордомс; ботномс,,,,,,,,,,,,,
murder,маштомс (ломань),,,,,,,,,,,,,
muscle,рунгосан; мускуля; сывель,,,,,,,,,,,,,
museum,музей,,,,,,,,,,,,,
mushroom,панго (ярсамонь),,,,,,,,,,,,,
music,музыка,,,,,,,,,,,,,
musical,музыкальной,,,,,,,,,,,,,
musician,музыкант,,,,,,,,,,,,,
must,эрявомс,,,,,,,,,,,,,
mustache,муюкт; нарт; усат,,,,,,,,,,,,,
mustard,горниця,,,,,,,,,,,,,
mute,чатьмониця,,,,,,,,,,,,,
mutual,кавто ёндонь,,,,,,,,,,,,,
my,монь,,,,,,,,,,,,,
mysterious,салавань,,,,,,,,,,,,,
mystery,салавачи,,,,,,,,,,,,,
myth,миф; пингеёвкс,,,,,,,,,,,,,
March,колмоце ков; эйсюроков,,,,,,,,,,,,,
May,ветеце ков; панжиков; нарамоков,,,,,,,,,,,,,
Middle East,Маласо чилисема ёнкс,,,,,,,,,,,,,
Monday,пондельник,,,,,,,,,,,,,
nail,(metal) эске,,,,,,,,,,,,,
naked,штапо; штадо,,,,,,,,,,,,,
name,лем,,,,,,,,,,,,,
name,лемдемс,,,,,,,,,,,,,
nap,(sleep) нувсема,,,,,,,,,,,,,
napkin,(table) салфетка,,,,,,,,,,,,,
narration,ёвтнема,,,,,,,,,,,,,
narrow,тея,,,,,,,,,,,,,
nasty,уксновтыця,,,,,,,,,,,,,
nation,раське; нация,,,,,,,,,,,,,
national,раськень; национальной,,,,,,,,,,,,,
nationality,национальность,,,,,,,,,,,,,
nationalize,национализировамс,,,,,,,,,,,,,
nationally,весе масторонь вановкссо,,,,,,,,,,,,,
native,эсь масторонь,,,,,,,,,,,,,
native,эсь масторсо чачозь,,,,,,,,,,,,,
natural,природань чачолмань,,,,,,,,,,,,,
naturally,содазь; чачомга,,,,,,,,,,,,,
nature,1. (character) кор 2. (world) пертьпелькс; чачолма; природа,,,,,,,,,,,,,
nausea,уксномань кепсетема,,,,,,,,,,,,,
naval,флотонь; иневедень,,,,,,,,,,,,,
navel,почо,,,,,,,,,,,,,
navigate,укшномс (венчсэ); ливтямс (ёроплансо),,,,,,,,,,,,,
navigation,навигация,,,,,,,,,,,,,
navy,военно-морской флот,,,,,,,,,,,,,
near,маласо,,,,,,,,,,,,,
nearly,малав,,,,,,,,,,,,,
neat,ванькс,,,,,,,,,,,,,
necessary,эрявикс,,,,,,,,,,,,,
necessity,эрявиксчи,,,,,,,,,,,,,
neck,1. (throat) кирьга 2. (back of the neck) сявдикс,,,,,,,,,,,,,
necklace,кирьгакс,,,,,,,,,,,,,
need,асатыкс; ??эрявома,,,,,,,,,,,,,
need,эрявомс,,,,,,,,,,,,,
needle,салмукс,,,,,,,,,,,,,
needless,аэрявикс; лишной,,,,,,,,,,,,,
needy,??лездамонь вети,,,,,,,,,,,,,
negative,аволь паронь арсиця; отрицательной,,,,,,,,,,,,,
neglect,небрежность,,,,,,,,,,,,,
neglect,а заботямс; а каямс сельме,,,,,,,,,,,,,
negligence,халатность,,,,,,,,,,,,,
negligent,халатной,,,,,,,,,,,,,
negotiate,ютавтомс тевде кортамо,,,,,,,,,,,,,
negotiation,тевде кортамо,,,,,,,,,,,,,
neighbor,шабра,,,,,,,,,,,,,
neighborhood,шабрат; шабра куро,,,,,,,,,,,,,
neither,конаськак (кавонест эйстэ),,,,,,,,,,,,,
nephew,(sister's son) патянть цёразо; сазоронть цёразо,,,,,,,,,,,,,
nerve,ёжопе; нерва,,,,,,,,,,,,,
nervous,нервной; талныця,,,,,,,,,,,,,
nest,(нармунень) пизэ,,,,,,,,,,,,,
net,1. (fishing) алтыма 2. сеть,,,,,,,,,,,,,
neuter,1. пичкавтозь 2. сымевтемс,,,,,,,,,,,,,
neutral,нейтральной,,,,,,,,,,,,,
never,зярдояк,,,,,,,,,,,,,
new,од,,,,,,,,,,,,,
news,кулят,,,,,,,,,,,,,
newspaper,газет,,,,,,,,,,,,,
next,мельга молиця; малаце,,,,,,,,,,,,,
next,мейле; седе тов,,,,,,,,,,,,,
nice,вадря; паро,,,,,,,,,,,,,
niece,1. (brother's daughter) лелянть тейтерезэ; ялаксонть тейтерезэ 2. (sister's daughter) патянть тейтерезэ; сазоронть тейтерезэ,,,,,,,,,,,,,
night,ве; (аволь чи),,,,,,,,,,,,,
nightmare,чоподавий; берянь он,,,,,,,,,,,,,
nine,вейксэ,,,,,,,,,,,,,
nineteen,кемвейксэе,,,,,,,,,,,,,
ninety,вейксэньгемень,,,,,,,,,,,,,
ninth,вейксэце,,,,,,,,,,,,,
nipple,потепря,,,,,,,,,,,,,
no,вейкеяк (арась),,,,,,,,,,,,,
no,(response) арась,,,,,,,,,,,,,
nobody,кияк,,,,,,,,,,,,,
nod,комсемс прясо,,,,,,,,,,,,,
noise,шалт,,,,,,,,,,,,,
noisy,шалтов; пижниця,,,,,,,,,,,,,
nominate,путомс; лемдемс,,,,,,,,,,,,,
none,(object) вейкеяк,,,,,,,,,,,,,
nonsense,чавовалт,,,,,,,,,,,,,
noodle,лапша,,,,,,,,,,,,,
noon,пелечи,,,,,,,,,,,,,
normal,эрьвачинь; нормальной,,,,,,,,,,,,,
normally,чистэ,,,,,,,,,,,,,
north,пелевеёнкс; якшамоёнкс,,,,,,,,,,,,,
northern,пелевеёнксонь,,,,,,,,,,,,,
northwards,пелевеёнов; якшамо ёнов,,,,,,,,,,,,,
nose,судо,,,,,,,,,,,,,
nosey,кувака судо; эрьва ков эциця,,,,,,,,,,,,,
nostril,судоваря,,,,,,,,,,,,,
not,а; аволь,,,,,,,,,,,,,
notable,содавиця; покшчинь,,,,,,,,,,,,,
notary,нотариус,,,,,,,,,,,,,
note,(music) нота,,,,,,,,,,,,,
note,(write) путомс тешкс; тешкстамс,,,,,,,,,,,,,
notebook,кедьалксонь книга,,,,,,,,,,,,,
nothing,мезеяк,,,,,,,,,,,,,
notice,редямс,,,,,,,,,,,,,
noticeable,сельмс каятыця; неявома,,,,,,,,,,,,,
notification,объявления; яволявкс,,,,,,,,,,,,,
notify,ёвтамс (весень марямга),,,,,,,,,,,,,
notion,содамочи; арсема,,,,,,,,,,,,,
notorious,берянь слава марто,,,,,,,,,,,,,
noun,лемвал; существительной,,,,,,,,,,,,,
nourish,андомс,,,,,,,,,,,,,
nourishing,андыця,,,,,,,,,,,,,
novel,роман,,,,,,,,,,,,,
novelty,??од тев,,,,,,,,,,,,,
now,ней,,,,,,,,,,,,,
nowhere,косояк,,,,,,,,,,,,,
nozzle,форсунка,,,,,,,,,,,,,
nuclear,ядерной,,,,,,,,,,,,,
nude,кепе-штапо,,,,,,,,,,,,,
nuisance,досада; зыян,,,,,,,,,,,,,
numb,чувтомозь,,,,,,,,,,,,,
number,ломова вал,,,,,,,,,,,,,
numeral,цифра,,,,,,,,,,,,,
numerical,цифрань,,,,,,,,,,,,,
numerous,ламочинь,,,,,,,,,,,,,
nun,монашка,,,,,,,,,,,,,
nurse,медсестра,,,,,,,,,,,,,
nursery,(tree) озавтома,,,,,,,,,,,,,
nursing,медсестрань важодема,,,,,,,,,,,,,
nursing home,частной лецямокудо,,,,,,,,,,,,,
nut,пеште,,,,,,,,,,,,,
nutrition,андома,,,,,,,,,,,,,
November,сундерьков,,,,,,,,,,,,,
oak,тумо,,,,,,,,,,,,,
oar,имле,,,,,,,,,,,,,
oath,пежеть,,,,,,,,,,,,,
oats,пинеме,,,,,,,,,,,,,
obedience,кунсолома,,,,,,,,,,,,,
obedient,кунсолыця,,,,,,,,,,,,,
obey,кунсоломс; теемс кода кармавтозь,,,,,,,,,,,,,
obituary,кулыцядо сёрмадовкс; некролог,,,,,,,,,,,,,
object,(thing) объект (мезе-бути),,,,,,,,,,,,,
object,каямс каршо вал,,,,,,,,,,,,,
objection,каршо валонь каямо,,,,,,,,,,,,,
objective,целень,,,,,,,,,,,,,
obligation,тевень пандома,,,,,,,,,,,,,
obscene,берянь каргоць,,,,,,,,,,,,,
obscenity,берянь сёвнома валт,,,,,,,,,,,,,
obscure,чопода; а чарькодевикс,,,,,,,,,,,,,
observant,весе неиця; редиця,,,,,,,,,,,,,
observation,весе неема,,,,,,,,,,,,,
observe,ваномс; следямс,,,,,,,,,,,,,
obsession,превень салы тев,,,,,,,,,,,,,
obsessive,превень саламонь,,,,,,,,,,,,,
obsolete,таштомозь,,,,,,,,,,,,,
obstacle,пирявкс,,,,,,,,,,,,,
obstruct,пирямс,,,,,,,,,,,,,
obstruction,пирявкс,,,,,,,,,,,,,
obtain,получамс; чочамс; саемс,,,,,,,,,,,,,
obtainable,доступной; саевиця,,,,,,,,,,,,,
obvious,сельмс каятыця; чарькодевиця,,,,,,,,,,,,,
obviously,чарькодезь,,,,,,,,,,,,,
occasion,теевкс; шкань прамо,,,,,,,,,,,,,
occasionally,зярдо-зярдо; шкань-шкань,,,,,,,,,,,,,
occupation,оккупация,,,,,,,,,,,,,
occupy,1. занямс; саемс 2. саемс (country мастор); ??оккупировамс,,,,,,,,,,,,,
occur,лисемс (тев),,,,,,,,,,,,,
occurence,(event) тамаша; случай,,,,,,,,,,,,,
ocean,иневедь,,,,,,,,,,,,,
octopus,спрут; кавксопильге,,,,,,,,,,,,,
odd,(strange) ломань; апак тонадонь,,,,,,,,,,,,,
odor,чине,,,,,,,,,,,,,
of,-нь,,,,,,,,,,,,,
off,(light) мадстезь,,,,,,,,,,,,,
offend,(person) покордамс,,,,,,,,,,,,,
offense,покордамо,,,,,,,,,,,,,
offensive,каявомань,,,,,,,,,,,,,
offer,предложения (мезень-бути),,,,,,,,,,,,,
offer,теемс предложения; меремс (мезде),,,,,,,,,,,,,
office,должность,,,,,,,,,,,,,
officer,(military) офицер,,,,,,,,,,,,,
official,служебной,,,,,,,,,,,,,
official,прявт; чиновник,,,,,,,,,,,,,
often,сеедьстэ,,,,,,,,,,,,,
oil,ой,,,,,,,,,,,,,
oil,ваднемс ойсэ,,,,,,,,,,,,,
oily,оев,,,,,,,,,,,,,
ointment,ваднема пецямопель,,,,,,,,,,,,,
old,1. сыре 2. ташто 3. умонь,,,,,,,,,,,,,
olive,1. оймарь 2. олив,,,,,,,,,,,,,
omit,нолдамс; молемс,,,,,,,,,,,,,
on,лангсо,,,,,,,,,,,,,
on,(light) лангсо,,,,,,,,,,,,,
once,весть,,,,,,,,,,,,,
one,вейке; ве,,,,,,,,,,,,,
onion,чурька,,,,,,,,,,,,,
only,вейкине,,,,,,,,,,,,,
only,ансяк,,,,,,,,,,,,,
only,ансяк,,,,,,,,,,,,,
open,(building) панжадо,,,,,,,,,,,,,
open,панжомс,,,,,,,,,,,,,
opening,варя,,,,,,,,,,,,,
openly,весень марязь,,,,,,,,,,,,,
opera,опера,,,,,,,,,,,,,
operate,(system) ветямс,,,,,,,,,,,,,
operation,(system) ветямо,,,,,,,,,,,,,
operator,(telephone) оператор,,,,,,,,,,,,,
opinion,мель; арсема,,,,,,,,,,,,,
opponent,оппонент; каршо молиця,,,,,,,,,,,,,
opportunity,удобной случай,,,,,,,,,,,,,
oppose,молемс каршо,,,,,,,,,,,,,
opposite,каршо,,,,,,,,,,,,,
opposite,карадо каршо,,,,,,,,,,,,,
opposition,1. каршо молема 2. каршо молицят,,,,,,,,,,,,,
oppress,лепштямс кинь-бути,,,,,,,,,,,,,
oppression,лепштямо,,,,,,,,,,,,,
optical,сельмень; вановксонь,,,,,,,,,,,,,
optician,оптик,,,,,,,,,,,,,
optimistic,оптимистэнь,,,,,,,,,,,,,
option,кочкамо,,,,,,,,,,,,,
optional,аволь обязательной,,,,,,,,,,,,,
or,эли,,,,,,,,,,,,,
oral,(speech) превень; валонь,,,,,,,,,,,,,
orange,кирьпецень якстере; оранжевой,,,,,,,,,,,,,
orange,апельсин,,,,,,,,,,,,,
orchestra,оркестра,,,,,,,,,,,,,
order,(military) кармавтовкс,,,,,,,,,,,,,
order,(military) кармавтомс,,,,,,,,,,,,,
ordinary,эрьва чинь,,,,,,,,,,,,,
ore,руда; верь (модапотмонь),,,,,,,,,,,,,
organ,(body) рунгонь пелькс,,,,,,,,,,,,,
organization,вейсэндявкс; теема-лядямо,,,,,,,,,,,,,
organize,теемс-ладямс,,,,,,,,,,,,,
oriental,азиань; чилисема ёнксонь,,,,,,,,,,,,,
origin,ушодовкс; лисьмапря,,,,,,,,,,,,,
original,васенце,,,,,,,,,,,,,
originally,ушодомсто,,,,,,,,,,,,,
ornament,мазылгавтомка,,,,,,,,,,,,,
orphan,уроз,,,,,,,,,,,,,
orphanage,урозкудо,,,,,,,,,,,,,
ostrich,страус,,,,,,,,,,,,,
other,тона; омбо,,,,,,,,,,,,,
otherwise,лиякс,,,,,,,,,,,,,
our,минек,,,,,,,,,,,,,
ourselves,эсь прянок,,,,,,,,,,,,,
out,ушов; потсто,,,,,,,,,,,,,
outbreak,взрыв; ушодома,,,,,,,,,,,,,
outcome,результат; савкс,,,,,,,,,,,,,
outdated,таштомозь,,,,,,,,,,,,,
outdoors,ушов; ушосо; ушова вирьсэ-паксясо,,,,,,,,,,,,,
outer,лангонь,,,,,,,,,,,,,
outlook,вановкс,,,,,,,,,,,,,
output,(production) продукция,,,,,,,,,,,,,
outrage,(anger) кежень само,,,,,,,,,,,,,
outrageous,скандальной; кежень савты,,,,,,,,,,,,,
outside,ушов; ушосо; ушова,,,,,,,,,,,,,
outside,(object) ланго,,,,,,,,,,,,,
outside,(open) ушов; ушосо; ушова,,,,,,,,,,,,,
outsider,аволь эсь ломань,,,,,,,,,,,,,
outskirts,край; пе,,,,,,,,,,,,,
outstanding,(noticeable) редявикс,,,,,,,,,,,,,
outward,(movement) лангс,,,,,,,,,,,,,
oval,овальной; алонь кондямо,,,,,,,,,,,,,
oven,каштомо,,,,,,,,,,,,,
over,(above) велькс; велькссэ; велькска,,,,,,,,,,,,,
over,(remaining) лиядкс; кадовикс,,,,,,,,,,,,,
overcast,вельтязь пельсэ; нусманя,,,,,,,,,,,,,
overcoat,пальто; шинель,,,,,,,,,,,,,
overdose,покш доза (лишной),,,,,,,,,,,,,
